label,name,status,error,skill,speed,delay_ms,seed,dt,motor_curve,voltage,moving_speed,flight_s,jump,running,motion_failed,settled,peak_ground_force,peak_torque,limit_excess,camera_yaw_rms,camera_pitch_rms
jump,jump_v0.6_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,101,0.00125,False,12.6,0.012224744938796389,0.08375,False,False,False,False,74.41213755527295,0.6,0.012423705618389125,2.383274305884156,3.6050842140932797
jump,jump_v0.6_d10_s102_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,102,0.00125,False,12.6,0.01233362767529535,0.08625000000000001,False,False,False,False,70.38067827707626,0.6,0.01038680080499721,2.371075742248352,3.2797180642221204
jump,jump_v0.6_d10_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,103,0.00125,False,12.6,0.00924339347405085,0.08625000000000001,False,False,False,False,74.28856153957537,0.6,0.013749434474287447,2.112555815208007,3.596482139084315
jump,jump_v0.6_d15_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,101,0.00125,False,12.6,0.007161058403325228,0.085,False,False,False,False,74.19060410277395,0.6,0.007851500497397801,1.97365824982393,3.3879723203668406
jump,jump_v0.6_d15_s102_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,102,0.00125,False,12.6,0.00806634293060784,0.0825,False,False,False,False,72.50522031698874,0.6,0.0103129666256907,1.9996466779809268,3.361522082044585
jump,jump_v0.6_d15_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,103,0.00125,False,12.6,0.005952020055899271,0.08,False,False,False,False,71.85227574400622,0.6,0.00912700423944135,1.8251619121621323,3.4010519502161323
jump,jump_v0.6_d10_s104_dt0.000625_curve0_V12.6,COMPLETE,,jump,0.6,10,104,0.000625,False,12.6,0.010829948902582152,0.08687500000000001,False,False,True,False,74.06387619357339,0.6,0.032755887832574215,2.143372749851194,3.4452336428508143
jump,jump_v0.6_d10_s104_dt0.00125_curve1_V11.1,COMPLETE,,jump,0.6,10,104,0.00125,True,11.1,0.008554195689082736,0.0375,False,False,False,False,39.59546263052489,0.6,0.009787941426618652,1.6070573713302254,3.7860466267658373
jump,jump_v0.6_d10_s104_dt0.00125_curve1_V9.9,COMPLETE,,jump,0.6,10,104,0.00125,True,9.9,-0.012094312238331729,0.0,False,False,False,False,33.13710354101286,0.6,0.009096746495934893,1.9346035427058854,3.9512122043477413
jump,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__feedback40,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,0.002777397573785902,0.0825,False,False,False,False,70.78343082828931,0.6,0.014218898611959463,2.319229681114179,3.063504237692939
jump,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__low_friction,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,0.016803726973053646,0.08750000000000001,False,False,True,False,82.85983227144217,0.6,0.021759344623663968,2.0408223496340256,4.194652668846013
jump,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__head_carrier_plus10pct,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,0.011139112671225405,0.08125,False,False,False,False,74.77247165909937,0.6,0.007602484489612316,1.778392867618579,3.4225720188170246
jump,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__feedback_drop2pct,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,0.008440984492509197,0.085,False,False,False,False,69.38572280739592,0.6,0.009678510915346772,2.3863993421057366,3.501321415042466
jump_return,jump_v0.6_d5_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,5,101,0.00125,False,12.6,-0.013604721809193022,0.085,True,False,False,True,72.87392900572193,0.6,0.015197382385243374,2.041339351371021,2.653540194528221
jump_return,jump_v0.6_d5_s102_dt0.00125_curve0_V12.6,FAILED,ValueError('Calibration angular motion is excessive'),jump,0.6,5,102,0.00125,False,12.6,,,,,,,,,,,
jump_return,jump_v0.6_d5_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,5,103,0.00125,False,12.6,0.002892297973138852,0.08625000000000001,True,False,False,True,73.43760306246335,0.6,0.009742415013790473,2.1378004682151754,1.8156153907094006
jump_return,jump_v0.6_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,101,0.00125,False,12.6,0.0018304658936467888,0.08375,True,False,False,True,74.41213755527295,0.6,0.012423705618389125,2.1000030432614154,2.655693756805259
jump_return,jump_v0.6_d10_s102_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,102,0.00125,False,12.6,-0.014351446432645432,0.08625000000000001,True,False,False,True,70.38067827707626,0.6,0.01038680080499721,2.1107759937836343,3.2262244524810106
jump_return,jump_v0.6_d10_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,10,103,0.00125,False,12.6,0.0010157027423824299,0.08625000000000001,True,False,False,True,74.28856153957537,0.6,0.013749434474287447,2.0765670662322977,2.282323769075312
jump_return,jump_v0.6_d15_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,101,0.00125,False,12.6,0.0002486281378949493,0.085,True,False,False,True,74.19060410277395,0.6,0.007851500497397801,1.7664121336354568,2.4421328447225124
jump_return,jump_v0.6_d15_s102_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,102,0.00125,False,12.6,0.00034909233754700257,0.0825,True,False,False,True,72.50522031698874,0.6,0.0103129666256907,1.7766001123103183,2.5339754260734813
jump_return,jump_v0.6_d15_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,15,103,0.00125,False,12.6,-0.0007470703431685812,0.08,True,False,False,True,71.85227574400622,0.6,0.00912700423944135,1.8166081196646717,2.564066293415391
jump_return,jump_v0.6_d10_s104_dt0.000625_curve0_V12.6,COMPLETE,,jump,0.6,10,104,0.000625,False,12.6,0.0016594880182999885,0.08687500000000001,False,False,True,True,74.06387619357339,0.6,0.032755887832574215,1.8897544980410426,2.9405264721546502
jump_return,jump_v0.6_d10_s104_dt0.00125_curve1_V11.1,COMPLETE,,jump,0.6,10,104,0.00125,True,11.1,-0.0004020479962914716,0.0375,False,False,False,True,39.59546263052489,0.6,0.009787941426618652,1.6630971664903667,2.5395182754370746
jump_return,jump_v0.6_d10_s104_dt0.00125_curve1_V9.9,COMPLETE,,jump,0.6,10,104,0.00125,True,9.9,-0.016202111709831622,0.0,False,False,False,True,33.13710354101286,0.6,0.009096746495934893,1.914304308165176,3.3034640615845614
